symbol,date,price
Cat1,Jan 2000,39.81
Cat1,Feb 2000,36.35
Cat1,Mar 2000,43.22
Cat1,Apr 2000,28.37
Cat1,May 2000,25.45
Cat1,Jun 2000,32.54
Cat1,Jul 2000,28.4
Cat1,Aug 2000,28.4
Cat1,Sep 2000,24.53
Cat1,Oct 2000,28.02
Cat1,Nov 2000,23.34
Cat1,Dec 2000,17.65
Cat1,Jan 2001,24.84
Cat1,Feb 2001,24
Cat1,Mar 2001,22.25
Cat1,Apr 2001,27.56
Cat1,May 2001,28.14
Cat1,Jun 2001,29.7
Cat1,Jul 2001,26.93
Cat1,Aug 2001,23.21
Cat1,Sep 2001,20.82
Cat1,Oct 2001,23.65
Cat1,Nov 2001,26.12
Cat1,Dec 2001,26.95
Cat1,Jan 2002,25.92
Cat1,Feb 2002,23.73
Cat1,Mar 2002,24.53
Cat1,Apr 2002,21.26
Cat1,May 2002,20.71
Cat1,Jun 2002,22.25
Cat1,Jul 2002,19.52
Cat1,Aug 2002,19.97
Cat1,Sep 2002,17.79
Cat1,Oct 2002,21.75
Cat1,Nov 2002,23.46
Cat1,Dec 2002,21.03
Cat1,Jan 2003,19.31
Cat1,Feb 2003,19.34
Cat1,Mar 2003,19.76
Cat1,Apr 2003,20.87
Cat1,May 2003,20.09
Cat1,Jun 2003,20.93
Cat1,Jul 2003,21.56
Cat1,Aug 2003,21.65
Cat1,Sep 2003,22.69
Cat1,Oct 2003,21.45
Cat1,Nov 2003,21.1
Cat1,Dec 2003,22.46
Cat1,Jan 2004,22.69
Cat1,Feb 2004,21.77
Cat1,Mar 2004,20.46
Cat1,Apr 2004,21.45
Cat1,May 2004,21.53
Cat1,Jun 2004,23.44
Cat1,Jul 2004,23.38
Cat1,Aug 2004,22.47
Cat1,Sep 2004,22.76
Cat1,Oct 2004,23.02
Cat1,Nov 2004,24.6
Cat1,Dec 2004,24.52
Cat1,Jan 2005,24.11
Cat1,Feb 2005,23.15
Cat1,Mar 2005,22.24
Cat1,Apr 2005,23.28
Cat1,May 2005,23.82
Cat1,Jun 2005,22.93
Cat1,Jul 2005,23.64
Cat1,Aug 2005,25.35
Cat1,Sep 2005,23.83
Cat1,Oct 2005,23.8
Cat1,Nov 2005,25.71
Cat1,Dec 2005,24.29
Cat1,Jan 2006,26.14
Cat1,Feb 2006,25.04
Cat1,Mar 2006,25.36
Cat1,Apr 2006,22.5
Cat1,May 2006,21.19
Cat1,Jun 2006,21.8
Cat1,Jul 2006,22.51
Cat1,Aug 2006,24.13
Cat1,Sep 2006,25.68
Cat1,Oct 2006,26.96
Cat1,Nov 2006,27.66
Cat1,Dec 2006,28.13
Cat1,Jan 2007,29.07
Cat1,Feb 2007,26.63
Cat1,Mar 2007,26.35
Cat1,Apr 2007,28.3
Cat1,May 2007,29.11
Cat1,Jun 2007,27.95
Cat1,Jul 2007,27.5
Cat1,Aug 2007,27.34
Cat1,Sep 2007,28.04
Cat1,Oct 2007,35.03
Cat1,Nov 2007,32.09
Cat1,Dec 2007,34
Cat1,Jan 2008,31.13
Cat1,Feb 2008,26.07
Cat1,Mar 2008,27.21
Cat1,Apr 2008,27.34
Cat1,May 2008,27.25
Cat1,Jun 2008,26.47
Cat1,Jul 2008,24.75
Cat1,Aug 2008,26.36
Cat1,Sep 2008,25.78
Cat1,Oct 2008,21.57
Cat1,Nov 2008,19.66
Cat1,Dec 2008,18.91
Cat1,Jan 2009,16.63
Cat1,Feb 2009,15.81
Cat1,Mar 2009,17.99
Cat1,Apr 2009,19.84
Cat1,May 2009,20.59
Cat1,Jun 2009,23.42
Cat1,Jul 2009,23.18
Cat1,Aug 2009,24.43
Cat1,Sep 2009,25.49
Cat1,Oct 2009,27.48
Cat1,Nov 2009,29.27
Cat1,Dec 2009,30.34
Cat1,Jan 2010,28.05
Cat1,Feb 2010,28.67
Cat1,Mar 2010,28.8
Cat3,Jan 2000,64.56
Cat3,Feb 2000,68.87
Cat3,Mar 2000,67
Cat3,Apr 2000,55.19
Cat3,May 2000,48.31
Cat3,Jun 2000,36.31
Cat3,Jul 2000,30.12
Cat3,Aug 2000,41.5
Cat3,Sep 2000,38.44
Cat3,Oct 2000,36.62
Cat3,Nov 2000,24.69
Cat3,Dec 2000,15.56
Cat3,Jan 2001,17.31
Cat3,Feb 2001,10.19
Cat3,Mar 2001,10.23
Cat3,Apr 2001,15.78
Cat3,May 2001,16.69
Cat3,Jun 2001,14.15
Cat3,Jul 2001,12.49
Cat3,Aug 2001,8.94
Cat3,Sep 2001,5.97
Cat3,Oct 2001,6.98
Cat3,Nov 2001,11.32
Cat3,Dec 2001,10.82
Cat3,Jan 2002,14.19
Cat3,Feb 2002,14.1
Cat3,Mar 2002,14.3
Cat3,Apr 2002,16.69
Cat3,May 2002,18.23
Cat3,Jun 2002,16.25
Cat3,Jul 2002,14.45
Cat3,Aug 2002,14.94
Cat3,Sep 2002,15.93
Cat3,Oct 2002,19.36
Cat3,Nov 2002,23.35
Cat3,Dec 2002,18.89
Cat3,Jan 2003,21.85
Cat3,Feb 2003,22.01
Cat3,Mar 2003,26.03
Cat3,Apr 2003,28.69
Cat3,May 2003,35.89
Cat3,Jun 2003,36.32
Cat3,Jul 2003,41.64
Cat3,Aug 2003,46.32
Cat3,Sep 2003,48.43
Cat3,Oct 2003,54.43
Cat3,Nov 2003,53.97
Cat3,Dec 2003,52.62
Cat3,Jan 2004,50.4
Cat3,Feb 2004,43.01
Cat3,Mar 2004,43.28
Cat3,Apr 2004,43.6
Cat3,May 2004,48.5
Cat3,Jun 2004,54.4
Cat3,Jul 2004,38.92
Cat3,Aug 2004,38.14
Cat3,Sep 2004,40.86
Cat3,Oct 2004,34.13
Cat3,Nov 2004,39.68
Cat3,Dec 2004,44.29
Cat3,Jan 2005,43.22
Cat3,Feb 2005,35.18
Cat3,Mar 2005,34.27
Cat3,Apr 2005,32.36
Cat3,May 2005,35.51
Cat3,Jun 2005,33.09
Cat3,Jul 2005,45.15
Cat3,Aug 2005,42.7
Cat3,Sep 2005,45.3
Cat3,Oct 2005,39.86
Cat3,Nov 2005,48.46
Cat3,Dec 2005,47.15
Cat3,Jan 2006,44.82
Cat3,Feb 2006,37.44
Cat3,Mar 2006,36.53
Cat3,Apr 2006,35.21
Cat3,May 2006,34.61
Cat3,Jun 2006,38.68
Cat3,Jul 2006,26.89
Cat3,Aug 2006,30.83
Cat3,Sep 2006,32.12
Cat3,Oct 2006,38.09
Cat3,Nov 2006,40.34
Cat3,Dec 2006,39.46
Cat3,Jan 2007,37.67
Cat3,Feb 2007,39.14
Cat3,Mar 2007,39.79
Cat3,Apr 2007,61.33
Cat3,May 2007,69.14
Cat3,Jun 2007,68.41
Cat3,Jul 2007,78.54
Cat3,Aug 2007,79.91
Cat3,Sep 2007,93.15
Cat3,Oct 2007,89.15
Cat3,Nov 2007,90.56
Cat3,Dec 2007,92.64
Cat3,Jan 2008,77.7
Cat3,Feb 2008,64.47
Cat3,Mar 2008,71.3
Cat3,Apr 2008,78.63
Cat3,May 2008,81.62
Cat3,Jun 2008,73.33
Cat3,Jul 2008,76.34
Cat3,Aug 2008,80.81
Cat3,Sep 2008,72.76
Cat3,Oct 2008,57.24
Cat3,Nov 2008,42.7
Cat3,Dec 2008,51.28
Cat3,Jan 2009,58.82
Cat3,Feb 2009,64.79
Cat3,Mar 2009,73.44
Cat3,Apr 2009,80.52
Cat3,May 2009,77.99
Cat3,Jun 2009,83.66
Cat3,Jul 2009,85.76
Cat3,Aug 2009,81.19
Cat3,Sep 2009,93.36
Cat3,Oct 2009,118.81
Cat3,Nov 2009,135.91
Cat3,Dec 2009,134.52
Cat3,Jan 2010,125.41
Cat3,Feb 2010,118.4
Cat3,Mar 2010,128.82
Cat2,Jan 2000,100.52
Cat2,Feb 2000,92.11
Cat2,Mar 2000,106.11
Cat2,Apr 2000,99.95
Cat2,May 2000,96.31
Cat2,Jun 2000,98.33
Cat2,Jul 2000,100.74
Cat2,Aug 2000,118.62
Cat2,Sep 2000,101.19
Cat2,Oct 2000,88.5
Cat2,Nov 2000,84.12
Cat2,Dec 2000,76.47
Cat2,Jan 2001,100.76
Cat2,Feb 2001,89.98
Cat2,Mar 2001,86.63
Cat2,Apr 2001,103.7
Cat2,May 2001,100.82
Cat2,Jun 2001,102.35
Cat2,Jul 2001,94.87
Cat2,Aug 2001,90.25
Cat2,Sep 2001,82.82
Cat2,Oct 2001,97.58
Cat2,Nov 2001,104.5
Cat2,Dec 2001,109.36
Cat2,Jan 2002,97.54
Cat2,Feb 2002,88.82
Cat2,Mar 2002,94.15
Cat2,Apr 2002,75.82
Cat2,May 2002,72.97
Cat2,Jun 2002,65.31
Cat2,Jul 2002,63.86
Cat2,Aug 2002,68.52
Cat2,Sep 2002,53.01
Cat2,Oct 2002,71.76
Cat2,Nov 2002,79.16
Cat2,Dec 2002,70.58
Cat2,Jan 2003,71.22
Cat2,Feb 2003,71.13
Cat2,Mar 2003,71.57
Cat2,Apr 2003,77.47
Cat2,May 2003,80.48
Cat2,Jun 2003,75.42
Cat2,Jul 2003,74.28
Cat2,Aug 2003,75.12
Cat2,Sep 2003,80.91
Cat2,Oct 2003,81.96
Cat2,Nov 2003,83.08
Cat2,Dec 2003,85.05
Cat2,Jan 2004,91.06
Cat2,Feb 2004,88.7
Cat2,Mar 2004,84.41
Cat2,Apr 2004,81.04
Cat2,May 2004,81.59
Cat2,Jun 2004,81.19
Cat2,Jul 2004,80.19
Cat2,Aug 2004,78.17
Cat2,Sep 2004,79.13
Cat2,Oct 2004,82.84
Cat2,Nov 2004,87.15
Cat2,Dec 2004,91.16
Cat2,Jan 2005,86.39
Cat2,Feb 2005,85.78
Cat2,Mar 2005,84.66
Cat2,Apr 2005,70.77
Cat2,May 2005,70.18
Cat2,Jun 2005,68.93
Cat2,Jul 2005,77.53
Cat2,Aug 2005,75.07
Cat2,Sep 2005,74.7
Cat2,Oct 2005,76.25
Cat2,Nov 2005,82.98
Cat2,Dec 2005,76.73
Cat2,Jan 2006,75.89
Cat2,Feb 2006,75.09
Cat2,Mar 2006,77.17
Cat2,Apr 2006,77.05
Cat2,May 2006,75.04
Cat2,Jun 2006,72.15
Cat2,Jul 2006,72.7
Cat2,Aug 2006,76.35
Cat2,Sep 2006,77.26
Cat2,Oct 2006,87.06
Cat2,Nov 2006,86.95
Cat2,Dec 2006,91.9
Cat2,Jan 2007,93.79
Cat2,Feb 2007,88.18
Cat2,Mar 2007,89.44
Cat2,Apr 2007,96.98
Cat2,May 2007,101.54
Cat2,Jun 2007,100.25
Cat2,Jul 2007,105.4
Cat2,Aug 2007,111.54
Cat2,Sep 2007,112.6
Cat2,Oct 2007,111
Cat2,Nov 2007,100.9
Cat2,Dec 2007,103.7
Cat2,Jan 2008,102.75
Cat2,Feb 2008,109.64
Cat2,Mar 2008,110.87
Cat2,Apr 2008,116.23
Cat2,May 2008,125.14
Cat2,Jun 2008,114.6
Cat2,Jul 2008,123.74
Cat2,Aug 2008,118.16
Cat2,Sep 2008,113.53
Cat2,Oct 2008,90.24
Cat2,Nov 2008,79.65
Cat2,Dec 2008,82.15
Cat2,Jan 2009,89.46
Cat2,Feb 2009,90.32
Cat2,Mar 2009,95.09
Cat2,Apr 2009,101.29
Cat2,May 2009,104.85
Cat2,Jun 2009,103.01
Cat2,Jul 2009,116.34
Cat2,Aug 2009,117
Cat2,Sep 2009,118.55
Cat2,Oct 2009,119.54
Cat2,Nov 2009,125.79
Cat2,Dec 2009,130.32
Cat2,Jan 2010,121.85
Cat2,Feb 2010,127.16
Cat2,Mar 2010,125.55
Cat4,Jan 2000,25.94
Cat4,Feb 2000,28.66
Cat4,Mar 2000,33.95
Cat4,Apr 2000,31.01
Cat4,May 2000,21
Cat4,Jun 2000,26.19
Cat4,Jul 2000,25.41
Cat4,Aug 2000,30.47
Cat4,Sep 2000,12.88
Cat4,Oct 2000,9.78
Cat4,Nov 2000,8.25
Cat4,Dec 2000,7.44
Cat4,Jan 2001,10.81
Cat4,Feb 2001,9.12
Cat4,Mar 2001,11.03
Cat4,Apr 2001,12.74
Cat4,May 2001,9.98
Cat4,Jun 2001,11.62
Cat4,Jul 2001,9.4
Cat4,Aug 2001,9.27
Cat4,Sep 2001,7.76
Cat4,Oct 2001,8.78
Cat4,Nov 2001,10.65
Cat4,Dec 2001,10.95
Cat4,Jan 2002,12.36
Cat4,Feb 2002,10.85
Cat4,Mar 2002,11.84
Cat4,Apr 2002,12.14
Cat4,May 2002,11.65
Cat4,Jun 2002,8.86
Cat4,Jul 2002,7.63
Cat4,Aug 2002,7.38
Cat4,Sep 2002,7.25
Cat4,Oct 2002,8.03
Cat4,Nov 2002,7.75
Cat4,Dec 2002,7.16
Cat4,Jan 2003,7.18
Cat4,Feb 2003,7.51
Cat4,Mar 2003,7.07
Cat4,Apr 2003,7.11
Cat4,May 2003,8.98
Cat4,Jun 2003,9.53
Cat4,Jul 2003,10.54
Cat4,Aug 2003,11.31
Cat4,Sep 2003,10.36
Cat4,Oct 2003,11.44
Cat4,Nov 2003,10.45
Cat4,Dec 2003,10.69
Cat4,Jan 2004,11.28
Cat4,Feb 2004,11.96
Cat4,Mar 2004,13.52
Cat4,Apr 2004,12.89
Cat4,May 2004,14.03
Cat4,Jun 2004,16.27
Cat4,Jul 2004,16.17
Cat4,Aug 2004,17.25
Cat4,Sep 2004,19.38
Cat4,Oct 2004,26.2
Cat4,Nov 2004,33.53
Cat4,Dec 2004,32.2
Cat4,Jan 2005,38.45
Cat4,Feb 2005,44.86
Cat4,Mar 2005,41.67
Cat4,Apr 2005,36.06
Cat4,May 2005,39.76
Cat4,Jun 2005,36.81
Cat4,Jul 2005,42.65
Cat4,Aug 2005,46.89
Cat4,Sep 2005,53.61
Cat4,Oct 2005,57.59
Cat4,Nov 2005,67.82
Cat4,Dec 2005,71.89
Cat4,Jan 2006,75.51
Cat4,Feb 2006,68.49
Cat4,Mar 2006,62.72
Cat4,Apr 2006,70.39
Cat4,May 2006,59.77
Cat4,Jun 2006,57.27
Cat4,Jul 2006,67.96
Cat4,Aug 2006,67.85
Cat4,Sep 2006,76.98
Cat4,Oct 2006,81.08
Cat4,Nov 2006,91.66
Cat4,Dec 2006,84.84
Cat4,Jan 2007,85.73
Cat4,Feb 2007,84.61
Cat4,Mar 2007,92.91
Cat4,Apr 2007,99.8
Cat4,May 2007,121.19
Cat4,Jun 2007,122.04
Cat4,Jul 2007,131.76
Cat4,Aug 2007,138.48
Cat4,Sep 2007,153.47
Cat4,Oct 2007,189.95
Cat4,Nov 2007,182.22
Cat4,Dec 2007,198.08
Cat4,Jan 2008,135.36
Cat4,Feb 2008,125.02
Cat4,Mar 2008,143.5
Cat4,Apr 2008,173.95
Cat4,May 2008,188.75
Cat4,Jun 2008,167.44
Cat4,Jul 2008,158.95
Cat4,Aug 2008,169.53
Cat4,Sep 2008,113.66
Cat4,Oct 2008,107.59
Cat4,Nov 2008,92.67
Cat4,Dec 2008,85.35
Cat4,Jan 2009,90.13
Cat4,Feb 2009,89.31
Cat4,Mar 2009,105.12
Cat4,Apr 2009,125.83
Cat4,May 2009,135.81
Cat4,Jun 2009,142.43
Cat4,Jul 2009,163.39
Cat4,Aug 2009,168.21
Cat4,Sep 2009,185.35
Cat4,Oct 2009,188.5
Cat4,Nov 2009,199.91
Cat4,Dec 2009,210.73
Cat4,Jan 2010,192.06
Cat4,Feb 2010,204.62
Cat4,Mar 2010,223.02
